19.2899 	WARNING 	User requested fullscreen with size [1280  720], but screen is actually [1920, 1080]. Using actual size
20.4593 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

21.6400 	EXP 	window1: mouseVisible = True
21.6434 	EXP 	window1: mouseVisible = True
21.6435 	EXP 	window1: mouseVisible = True
21.6438 	EXP 	window1: mouseVisible = True
21.6440 	EXP 	window1: mouseVisible = True
21.6473 	EXP 	window1: mouseVisible = True
21.6474 	EXP 	window1: mouseVisible = True
21.6476 	EXP 	window1: mouseVisible = True
21.6479 	EXP 	window1: mouseVisible = True
21.6514 	EXP 	window1: mouseVisible = True
21.6515 	EXP 	window1: mouseVisible = True
21.6517 	EXP 	window1: mouseVisible = True
21.6520 	EXP 	window1: mouseVisible = True
21.6553 	EXP 	window1: mouseVisible = True
21.6554 	EXP 	window1: mouseVisible = True
21.6556 	EXP 	window1: mouseVisible = True
21.6559 	EXP 	window1: mouseVisible = True
21.6593 	EXP 	window1: mouseVisible = True
21.6594 	EXP 	window1: mouseVisible = True
21.6597 	EXP 	window1: mouseVisible = True
21.6599 	EXP 	window1: mouseVisible = True
21.6632 	EXP 	window1: mouseVisible = True
21.6633 	EXP 	window1: mouseVisible = True
21.6636 	EXP 	window1: mouseVisible = True
21.6638 	EXP 	window1: mouseVisible = True
21.6672 	EXP 	window1: mouseVisible = True
21.6673 	EXP 	window1: mouseVisible = True
21.6676 	EXP 	window1: mouseVisible = True
21.6678 	EXP 	window1: mouseVisible = True
21.6711 	EXP 	window1: mouseVisible = True
21.6712 	EXP 	window1: mouseVisible = True
21.6715 	EXP 	window1: mouseVisible = True
21.6717 	EXP 	window1: mouseVisible = True
21.6753 	EXP 	window1: mouseVisible = True
21.6753 	EXP 	window1: mouseVisible = True
21.6756 	EXP 	window1: mouseVisible = True
21.6759 	EXP 	window1: mouseVisible = True
21.6792 	EXP 	window1: mouseVisible = True
21.6803 	EXP 	window1: mouseVisible = True
21.7100 	EXP 	Created rating_2 = Slider(__class__=<class 'psychopy.visual.slider.Slider'>, autoDraw=False, autoLog=True, borderColor=None, color=None, colorSpace='rgb', depth=-7, fillColor=None, flip=False, font='Verdana', granularity=1.0, labelColor=None, labelHeight=0.017499999999999998, labelWrapWidth=None, labels=tuple(...), lineColor=None, markerColor=None, name='rating_2', opacity=None, ori=0.0, pos=array([0., 0.]), readOnly=False, self=UNKNOWN, size=array([1., 1.]), startValue=None, style='rating', styleTweaks=['triangleMarker'], ticks=array([1, 2, 3, 4, 5, 6, 7]), units='height', win=Window(...))
21.7101 	EXP 	window1: mouseVisible = True
21.7291 	EXP 	Created question_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-8.0, draggable=False, flipHoriz=False, flipVert=False, font='Verdana', fontFiles=[], height=1.0, italic=False, languageStyle='LTR', name='question_2', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Drawing style/ability', units='height', win=Window(...), wrapWidth=1)
21.7292 	EXP 	window1: mouseVisible = True
21.7349 	EXP 	Created block_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-10.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.02, italic=False, languageStyle='LTR', name='block_text', opacity=1.0, ori=0.0, pos=array([0.8 , 0.49]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
21.7349 	EXP 	window1: mouseVisible = True
21.7359 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
21.7360 	EXP 	window1: mouseVisible = True
