10.4910 	WARNING 	User requested fullscreen with size [1280  720], but screen is actually [1920, 1080]. Using actual size
11.6299 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

12.9070 	EXP 	Created image1 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, draggable=False, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='image1', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1., 1.]), texRes=128.0, units='height', win=Window(...))
12.9071 	EXP 	window1: mouseVisible = True
12.9172 	EXP 	Created image2 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-4.0, draggable=False, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='image2', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1., 1.]), texRes=512.0, units='height', win=Window(...))
12.9191 	EXP 	window1: mouseVisible = True
12.9193 	EXP 	window1: mouseVisible = True
12.9204 	EXP 	window1: mouseVisible = True
12.9204 	EXP 	window1: mouseVisible = True
12.9207 	EXP 	window1: mouseVisible = True
12.9210 	EXP 	window1: mouseVisible = True
12.9248 	EXP 	window1: mouseVisible = True
12.9249 	EXP 	window1: mouseVisible = True
12.9251 	EXP 	window1: mouseVisible = True
12.9254 	EXP 	window1: mouseVisible = True
12.9287 	EXP 	window1: mouseVisible = True
12.9288 	EXP 	window1: mouseVisible = True
12.9291 	EXP 	window1: mouseVisible = True
12.9294 	EXP 	window1: mouseVisible = True
12.9329 	EXP 	window1: mouseVisible = True
12.9330 	EXP 	window1: mouseVisible = True
12.9332 	EXP 	window1: mouseVisible = True
12.9335 	EXP 	window1: mouseVisible = True
12.9368 	EXP 	window1: mouseVisible = True
12.9369 	EXP 	window1: mouseVisible = True
12.9372 	EXP 	window1: mouseVisible = True
12.9374 	EXP 	window1: mouseVisible = True
12.9408 	EXP 	window1: mouseVisible = True
12.9409 	EXP 	window1: mouseVisible = True
12.9412 	EXP 	window1: mouseVisible = True
12.9415 	EXP 	window1: mouseVisible = True
12.9448 	EXP 	window1: mouseVisible = True
12.9449 	EXP 	window1: mouseVisible = True
12.9451 	EXP 	window1: mouseVisible = True
12.9454 	EXP 	window1: mouseVisible = True
12.9488 	EXP 	window1: mouseVisible = True
12.9489 	EXP 	window1: mouseVisible = True
12.9492 	EXP 	window1: mouseVisible = True
12.9495 	EXP 	window1: mouseVisible = True
12.9527 	EXP 	window1: mouseVisible = True
12.9528 	EXP 	window1: mouseVisible = True
12.9531 	EXP 	window1: mouseVisible = True
12.9533 	EXP 	window1: mouseVisible = True
12.9568 	EXP 	window1: mouseVisible = True
12.9569 	EXP 	window1: mouseVisible = True
12.9571 	EXP 	window1: mouseVisible = True
12.9574 	EXP 	window1: mouseVisible = True
12.9607 	EXP 	window1: mouseVisible = True
12.9608 	EXP 	window1: mouseVisible = True
12.9611 	EXP 	window1: mouseVisible = True
12.9613 	EXP 	window1: mouseVisible = True
12.9647 	EXP 	window1: mouseVisible = True
12.9648 	EXP 	window1: mouseVisible = True
12.9651 	EXP 	window1: mouseVisible = True
12.9654 	EXP 	window1: mouseVisible = True
12.9687 	EXP 	window1: mouseVisible = True
12.9687 	EXP 	window1: mouseVisible = True
12.9690 	EXP 	window1: mouseVisible = True
12.9693 	EXP 	window1: mouseVisible = True
12.9728 	EXP 	window1: mouseVisible = True
12.9729 	EXP 	window1: mouseVisible = True
12.9731 	EXP 	window1: mouseVisible = True
12.9734 	EXP 	window1: mouseVisible = True
12.9767 	EXP 	window1: mouseVisible = True
12.9777 	EXP 	window1: mouseVisible = True
13.0071 	EXP 	Created rating_1 = Slider(__class__=<class 'psychopy.visual.slider.Slider'>, autoDraw=False, autoLog=True, borderColor=None, color=None, colorSpace='rgb', depth=-5, fillColor=None, flip=False, font='Verdana', granularity=1.0, labelColor=None, labelHeight=0.017499999999999998, labelWrapWidth=None, labels=tuple(...), lineColor=None, markerColor=None, name='rating_1', opacity=None, ori=0.0, pos=array([0., 0.]), readOnly=False, self=UNKNOWN, size=array([1., 1.]), startValue=None, style='rating', styleTweaks=['triangleMarker'], ticks=array([1, 2, 3, 4, 5, 6, 7]), units='height', win=Window(...))
13.0073 	EXP 	window1: mouseVisible = True
13.0215 	EXP 	Created question = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-6.0, draggable=False, flipHoriz=False, flipVert=False, font='Verdana', fontFiles=[], height=1.0, italic=False, languageStyle='LTR', name='question', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Content', units='height', win=Window(...), wrapWidth=1)
13.0235 	EXP 	window1: mouseVisible = True
13.0238 	EXP 	window1: mouseVisible = True
13.0250 	EXP 	window1: mouseVisible = True
13.0250 	EXP 	window1: mouseVisible = True
13.0253 	EXP 	window1: mouseVisible = True
13.0256 	EXP 	window1: mouseVisible = True
13.0297 	EXP 	window1: mouseVisible = True
13.0297 	EXP 	window1: mouseVisible = True
13.0300 	EXP 	window1: mouseVisible = True
13.0303 	EXP 	window1: mouseVisible = True
13.0337 	EXP 	window1: mouseVisible = True
13.0338 	EXP 	window1: mouseVisible = True
13.0340 	EXP 	window1: mouseVisible = True
13.0343 	EXP 	window1: mouseVisible = True
13.0752 	EXP 	window1: mouseVisible = True
13.0754 	EXP 	window1: mouseVisible = True
13.0757 	EXP 	window1: mouseVisible = True
13.0759 	EXP 	window1: mouseVisible = True
13.0796 	EXP 	window1: mouseVisible = True
13.0797 	EXP 	window1: mouseVisible = True
13.0800 	EXP 	window1: mouseVisible = True
13.0803 	EXP 	window1: mouseVisible = True
13.0838 	EXP 	window1: mouseVisible = True
13.0839 	EXP 	window1: mouseVisible = True
13.0842 	EXP 	window1: mouseVisible = True
13.0844 	EXP 	window1: mouseVisible = True
13.0879 	EXP 	window1: mouseVisible = True
13.0879 	EXP 	window1: mouseVisible = True
13.0882 	EXP 	window1: mouseVisible = True
13.0885 	EXP 	window1: mouseVisible = True
13.0920 	EXP 	window1: mouseVisible = True
13.0921 	EXP 	window1: mouseVisible = True
13.0923 	EXP 	window1: mouseVisible = True
13.0926 	EXP 	window1: mouseVisible = True
13.0959 	EXP 	window1: mouseVisible = True
13.0960 	EXP 	window1: mouseVisible = True
13.0963 	EXP 	window1: mouseVisible = True
13.0966 	EXP 	window1: mouseVisible = True
13.1001 	EXP 	window1: mouseVisible = True
13.1001 	EXP 	window1: mouseVisible = True
13.1004 	EXP 	window1: mouseVisible = True
13.1007 	EXP 	window1: mouseVisible = True
13.1040 	EXP 	window1: mouseVisible = True
13.1041 	EXP 	window1: mouseVisible = True
13.1044 	EXP 	window1: mouseVisible = True
13.1046 	EXP 	window1: mouseVisible = True
13.1081 	EXP 	window1: mouseVisible = True
13.1082 	EXP 	window1: mouseVisible = True
13.1084 	EXP 	window1: mouseVisible = True
13.1087 	EXP 	window1: mouseVisible = True
13.1121 	EXP 	window1: mouseVisible = True
13.1121 	EXP 	window1: mouseVisible = True
13.1124 	EXP 	window1: mouseVisible = True
13.1127 	EXP 	window1: mouseVisible = True
13.1162 	EXP 	window1: mouseVisible = True
13.1163 	EXP 	window1: mouseVisible = True
13.1166 	EXP 	window1: mouseVisible = True
13.1169 	EXP 	window1: mouseVisible = True
13.1202 	EXP 	window1: mouseVisible = True
13.1212 	EXP 	window1: mouseVisible = True
13.1510 	EXP 	Created rating_2 = Slider(__class__=<class 'psychopy.visual.slider.Slider'>, autoDraw=False, autoLog=True, borderColor=None, color=None, colorSpace='rgb', depth=-7, fillColor=None, flip=False, font='Verdana', granularity=1.0, labelColor=None, labelHeight=0.017499999999999998, labelWrapWidth=None, labels=tuple(...), lineColor=None, markerColor=None, name='rating_2', opacity=None, ori=0.0, pos=array([0., 0.]), readOnly=False, self=UNKNOWN, size=array([1., 1.]), startValue=None, style='rating', styleTweaks=['triangleMarker'], ticks=array([1, 2, 3, 4, 5, 6, 7]), units='height', win=Window(...))
13.1511 	EXP 	window1: mouseVisible = True
13.1682 	EXP 	Created question_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-8.0, draggable=False, flipHoriz=False, flipVert=False, font='Verdana', fontFiles=[], height=1.0, italic=False, languageStyle='LTR', name='question_2', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Drawing style/ability', units='height', win=Window(...), wrapWidth=1)
13.1683 	EXP 	window1: mouseVisible = True
13.1690 	EXP 	Created block_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-10.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.02, italic=False, languageStyle='LTR', name='block_text', opacity=1.0, ori=0.0, pos=array([0.8 , 0.49]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
