,101_bat1.png,101_bat2.png,102_bat.png,103_bat.png,104_bat1.png,104_bat2.png,105_bat.png,105_bat2.png,106_bat.png,107_bat.png,107_bat2.png,108_bat.png,109_bat.png,109_bat2.png,110_bat.png,111_bat.png,112_bat.png,112_bat2.png,113_bat.png,114_bat.png,115_bat1.png,115_bat2.png,116_bat1.png,116_bat2.png,117_bat1.png,117_bat2.png,118_bat.png,119_bat.png,120_bat1.png,120_bat2.png,121_bat1.png,121_bat2.png,122_bat1.png,122_bat2.png,123_bat1.png,123_bat2.png,124_bat.png,126_bat.png,127_bat.png,128_bat1.png,128_bat2.png,129_bat.png,130_bat.png,132_bat.png,133_bat.png
118_bat.png,0.12129742,0.09958029,0.11297268,0.13098681,0.12550664,0.1392777,0.12796623,0.13113183,0.08661044,0.1126892,0.13539672,0.11501622,0.109917164,0.12567097,0.1197834,0.09818339,0.11206365,0.13550478,0.120079875,0.15437484,0.10379821,0.13745803,0.18339115,0.18456912,0.12355292,0.16680247,-2.3841858e-07,0.14368278,0.15956879,0.17410582,0.08696318,0.08852351,0.14144701,0.0985772,0.1534279,0.12945747,0.12274742,0.06479585,0.11863494,0.151968,0.18168777,0.07753998,0.1182673,0.15442586,0.12810373
119_bat.png,0.10403597,0.1783576,0.12536615,0.1209631,0.09645069,0.076428175,0.119274616,0.16442412,0.08009732,0.18223095,0.18264776,0.1033563,0.09977847,0.18154824,0.09006065,0.10324323,0.11887032,0.15235615,0.15141052,0.13652414,0.11599004,0.08735049,0.2252841,0.2607022,0.12970984,0.215989,0.14368278,-1.1920929e-07,0.2674119,0.20236504,0.14054757,0.08516121,0.13247442,0.1305908,0.18897349,0.23564899,0.10816312,0.11112714,0.06622088,0.19299334,0.26559085,0.102541685,0.09592044,0.19320357,0.08728778
120_bat1.png,0.2333628,0.17424,0.27352822,0.18552881,0.22797841,0.28973716,0.25390434,0.22301346,0.17089272,0.13342297,0.22422522,0.24401993,0.22663873,0.14154112,0.18688357,0.20343757,0.27023768,0.14817315,0.16916078,0.29184723,0.19186139,0.21094668,0.24978185,0.15198773,0.23614013,0.14409918,0.15956879,0.2674119,5.9604645e-08,0.2792042,0.16134506,0.20525718,0.2595271,0.21917331,0.2181986,0.050134182,0.22440791,0.15184283,0.25066507,0.23026776,0.061844885,0.17824244,0.23283643,0.24731863,0.22062093
120_bat2.png,0.09826827,0.19101262,0.16856015,0.23030186,0.21427286,0.16683471,0.17226982,0.22601509,0.17924976,0.23881477,0.17771745,0.17331296,0.15173149,0.1773544,0.16289592,0.1886614,0.118695736,0.16924948,0.15407896,0.23911381,0.16838348,0.16688478,0.1828922,0.23897004,0.18993181,0.24241233,0.17410582,0.20236504,0.2792042,-1.1920929e-07,0.16515195,0.16223878,0.16998148,0.21046978,0.22208673,0.22945237,0.19262373,0.15086645,0.12722266,0.17297006,0.2906446,0.19457746,0.18099582,0.23198664,0.21694982
121_bat1.png,0.09373683,0.1604039,0.16594195,0.07810849,0.14335537,0.14098346,0.14962316,0.11351138,0.07673156,0.12951231,0.18499821,0.13130593,0.13000357,0.07685101,0.10800755,0.10892624,0.116876364,0.0809325,0.13516587,0.1886301,0.11917603,0.14220834,0.19695824,0.18744946,0.15948534,0.17433333,0.08696318,0.14054757,0.16134506,0.16515195,2.9802322e-07,0.085511446,0.17777789,0.08844262,0.1726023,0.13391864,0.12743765,0.10689348,0.10667086,0.20275152,0.16129845,0.10566819,0.09205806,0.21402156,0.116570234
121_bat2.png,0.11116421,0.105401516,0.11294544,0.12432313,0.13325858,0.09676468,0.0976696,0.11205673,0.05926621,0.12180042,0.14170349,0.09235573,0.077843666,0.13207912,0.067634225,0.08620989,0.06501222,0.13024294,0.12621081,0.14095575,0.091965795,0.122980475,0.16186947,0.1850245,0.119686484,0.19688296,0.08852351,0.08516121,0.20525718,0.16223878,0.085511446,0.0,0.124174654,0.09716195,0.13889712,0.16389287,0.07048941,0.07892251,0.056928873,0.18116176,0.19893318,0.08824003,0.067171216,0.15465176,0.09303224
122_bat1.png,0.10769224,0.11261761,0.09938991,0.19459069,0.12919855,0.115703225,0.08808172,0.14035386,0.14392483,0.17569816,0.12348026,0.111515045,0.08461189,0.16873133,0.10984343,0.11844349,0.11334187,0.15237987,0.1231333,0.16778874,0.11548805,0.11296189,0.1593607,0.25144,0.13027138,0.2243169,0.14144701,0.13247442,0.2595271,0.16998148,0.17777789,0.124174654,-2.3841858e-07,0.16650629,0.17578417,0.23089904,0.1285649,0.107265234,0.084317744,0.17265451,0.2549634,0.12531835,0.13205457,0.11296928,0.1321255
122_bat2.png,0.13866234,0.18088156,0.13521945,0.10560906,0.13499522,0.09730166,0.1734299,0.14629632,0.10669285,0.18115687,0.19918585,0.14336932,0.14615834,0.1019963,0.13265431,0.11891782,0.123881936,0.111485004,0.19246203,0.12658519,0.14293373,0.12246907,0.22880238,0.25726825,0.20349729,0.23071611,0.0985772,0.1305908,0.21917331,0.21046978,0.08844262,0.09716195,0.16650629,-4.7683716e-07,0.21703672,0.17616284,0.13784039,0.12930697,0.113137126,0.23569179,0.2049588,0.115612686,0.113419116,0.23156834,0.12186295
123_bat1.png,0.18030262,0.097596526,0.18002105,0.24568969,0.20688993,0.1689418,0.14646578,0.1556803,0.14557004,0.14692897,0.15142912,0.12659097,0.14107043,0.2172538,0.16424781,0.14419097,0.14940137,0.21850568,0.10048807,0.24639654,0.12823033,0.18274206,0.16552198,0.118237555,0.12019718,0.21537495,0.1534279,0.18897349,0.2181986,0.22208673,0.1726023,0.13889712,0.17578417,0.21703672,-2.3841858e-07,0.19733125,0.12672329,0.15592098,0.16157997,0.19212508,0.23606718,0.16413087,0.17277473,0.12916696,0.15024137
123_bat2.png,0.20196998,0.15322912,0.2323525,0.16061646,0.21054107,0.24355716,0.21354342,0.1996249,0.14058465,0.13773274,0.20769721,0.20735514,0.18875861,0.10023081,0.16054642,0.17658591,0.230892,0.11170447,0.16885722,0.25559932,0.15984732,0.16973174,0.22473043,0.14623195,0.20922434,0.12959617,0.12945747,0.23564899,0.050134182,0.22945237,0.13391864,0.16389287,0.23089904,0.17616284,0.19733125,-1.1920929e-07,0.19589639,0.14203382,0.21356404,0.20104885,0.045090735,0.15382725,0.18738723,0.24125755,0.18802917
