,101_bat.png,102_bat.png,103_bat.png,104_bat.png,105_bat.png,106_bat.png,107_bat.png,108_bat.png,109_bat.png,110_bat.png,111_bat.png,112_bat.png,113_bat.png,114_bat.png,115_bat.png,116_bat.png,117_bat.png,119_bat.png,120_bat.png,121_bat.png,122_bat.png,123_bat.png,124_bat.png,126_bat.png,127_bat.png,128_bat.png,129_bat.png,130_bat.png,132_bat.png,133_bat.png
122_bat.png,0.060314715,0.06730914,0.044925332,0.053863466,0.09502208,0.05244577,0.051761508,0.04986471,0.10163498,0.11018485,0.047948122,0.06555712,0.06458497,0.08294332,0.04608637,0.06130767,0.17934453,0.056613445,0.043649912,0.07934618,1.1920929e-07,0.05534339,0.11142045,0.03988105,0.046245337,0.06618327,0.08582604,0.055927873,0.062169433,0.12924099
123_bat.png,0.064441025,0.05744028,0.066866696,0.081269324,0.098231435,0.061540246,0.07557964,0.04172653,0.110544145,0.12122631,0.0634194,0.083046556,0.05339265,0.09991622,0.046827793,0.040112615,0.21179706,0.07457852,0.06460571,0.077874064,0.05534339,-1.1920929e-07,0.1335603,0.058828354,0.071644366,0.0663811,0.08613014,0.0576303,0.043852746,0.15007758
124_bat.png,0.14178991,0.15860009,0.13858038,0.16205859,0.17096406,0.117567,0.14089686,0.14213324,0.046099722,0.047422707,0.13894343,0.1725539,0.17074335,0.058575094,0.14650333,0.16578811,0.076242745,0.119951844,0.1399622,0.1604492,0.11142045,0.1335603,5.9604645e-08,0.15538633,0.13667095,0.15808266,0.072012424,0.16145748,0.14949685,0.03591919
126_bat.png,0.06445968,0.07639146,0.067460775,0.046511173,0.11151016,0.06454927,0.05894953,0.06031835,0.12786812,0.13861084,0.054462552,0.06570339,0.06271082,0.119425,0.054238677,0.06524837,0.21237445,0.064611316,0.05875373,0.10079402,0.03988105,0.058828354,0.15538633,-2.3841858e-07,0.05398673,0.060525596,0.110158086,0.07913756,0.07672709,0.15564287
127_bat.png,0.07744551,0.07975328,0.07261127,0.06960118,0.08115995,0.05932784,0.06355524,0.052072227,0.14725018,0.13871455,0.058214962,0.06374478,0.07323593,0.12584323,0.05038923,0.06916082,0.2092402,0.05891335,0.05747193,0.078988194,0.046245337,0.071644366,0.13667095,0.05398673,-1.1920929e-07,0.08035171,0.11126977,0.084552646,0.06600678,0.16723412
128_bat.png,0.07887894,0.07712889,0.073687196,0.06524634,0.112702966,0.07380223,0.09460807,0.06249076,0.14673555,0.13421959,0.07372737,0.079062164,0.050894022,0.13082689,0.06664544,0.07616615,0.21102214,0.06380117,0.05368781,0.086483,0.06618327,0.0663811,0.15808266,0.060525596,0.08035171,1.1920929e-07,0.13041449,0.07019627,0.08227271,0.17129117
129_bat.png,0.12734008,0.14231426,0.14849281,0.11982596,0.13746405,0.12544829,0.12765199,0.09941298,0.044771314,0.047673702,0.10324991,0.14521384,0.11280239,0.06791991,0.107752144,0.10923135,0.13473642,0.12830436,0.13469386,0.11880392,0.08582604,0.08613014,0.072012424,0.110158086,0.11126977,0.13041449,5.9604645e-08,0.118154645,0.11550671,0.078079164
130_bat.png,0.076483965,0.047794104,0.08062577,0.074255586,0.09422672,0.0739553,0.0794487,0.047119677,0.14938533,0.14853859,0.059634686,0.086411595,0.057887435,0.12543851,0.047256768,0.065214574,0.24817634,0.08642584,0.06998575,0.08708662,0.055927873,0.0576303,0.16145748,0.07913756,0.084552646,0.07019627,0.118154645,0.0,0.053541064,0.2065776
132_bat.png,0.09433824,0.06931615,0.0521695,0.079155385,0.08036947,0.05272174,0.051576138,0.04431677,0.15123338,0.14688748,0.06680095,0.09176785,0.06360948,0.13847595,0.057019234,0.043684423,0.23567545,0.07004076,0.07428324,0.056654215,0.062169433,0.043852746,0.14949685,0.07672709,0.06600678,0.08227271,0.11550671,0.053541064,0.0,0.18697554
133_bat.png,0.16376412,0.19928646,0.16408771,0.18514651,0.19718254,0.15283948,0.17726052,0.17114317,0.05041814,0.039447546,0.17591083,0.18622714,0.19363433,0.0574193,0.18687165,0.18754792,0.06808442,0.1531744,0.15633422,0.18915701,0.12924099,0.15007758,0.03591919,0.15564287,0.16723412,0.17129117,0.078079164,0.2065776,0.18697554,0.0
