,101_bat.png,102_bat.png,103_bat.png,104_bat.png,105_bat.png,106_bat.png,107_bat.png,108_bat.png,109_bat.png,110_bat.png,111_bat.png,112_bat.png,113_bat.png,114_bat.png,115_bat.png,116_bat.png,117_bat.png,119_bat.png,120_bat.png,121_bat.png,122_bat.png,123_bat.png,124_bat.png,126_bat.png,127_bat.png,128_bat.png,129_bat.png,130_bat.png,132_bat.png,133_bat.png
122_bat.png,0.062829316,0.088519156,0.09203458,0.092968225,0.09339869,0.070216894,0.08596814,0.10013795,0.07194978,0.10174936,0.1036343,0.07949662,0.07067859,0.08527315,0.08217037,0.14565402,0.09213126,0.081520915,0.07806128,0.10887641,-2.3841858e-07,0.063940525,0.084659815,0.06654656,0.062297046,0.06784421,0.05301702,0.082999945,0.09187138,0.08081341
123_bat.png,0.040288806,0.075580716,0.120369375,0.12341982,0.08446503,0.06456953,0.103741765,0.107902825,0.047371745,0.09851128,0.11199051,0.07265991,0.06476605,0.0707891,0.061422467,0.1349234,0.09706229,0.056951642,0.084319055,0.12202203,0.063940525,0.0,0.09823489,0.06428456,0.052468836,0.06143713,0.09011936,0.08626115,0.10443324,0.070150554
124_bat.png,0.10691005,0.06026113,0.0352363,0.039995193,0.062173247,0.06947672,0.03702116,0.08284867,0.079391,0.11025447,0.08537781,0.09704703,0.088952005,0.090836406,0.052647352,0.101145506,0.07436371,0.08280176,0.083236456,0.11016214,0.084659815,0.09823489,-1.1920929e-07,0.097878635,0.09891683,0.07522178,0.121795356,0.08214474,0.03213203,0.07392299
126_bat.png,0.0678944,0.1014241,0.11272794,0.10616499,0.10184449,0.085455894,0.1055159,0.098894715,0.0670135,0.09089953,0.09226978,0.061463118,0.07944238,0.09544575,0.07914686,0.12458384,0.08120668,0.085210264,0.05838394,0.12537003,0.06654656,0.06428456,0.097878635,0.0,0.073949695,0.058152318,0.1067909,0.08465147,0.09856075,0.080082595
127_bat.png,0.04514706,0.07557261,0.10143578,0.105293155,0.07350737,0.050658166,0.093431056,0.08102238,0.04474473,0.07334745,0.086963534,0.06987965,0.054530263,0.06386918,0.06880772,0.11108601,0.078936696,0.04397422,0.055115342,0.0697093,0.062297046,0.052468836,0.09891683,0.073949695,0.0,0.054880977,0.089734375,0.086028814,0.091055036,0.043474555
128_bat.png,0.0543198,0.066886544,0.07678342,0.08712441,0.07259083,0.050579846,0.07407957,0.06017536,0.0470047,0.063827395,0.062615275,0.06725639,0.042358577,0.06628442,0.057482123,0.09735823,0.0491302,0.055831015,0.057694733,0.10300434,0.06784421,0.06143713,0.07522178,0.058152318,0.054880977,-2.3841858e-07,0.087325215,0.06605643,0.0694021,0.052581966
129_bat.png,0.076535165,0.10747522,0.13438171,0.15114063,0.12683433,0.07844895,0.11218387,0.13261509,0.09204978,0.12945074,0.117667556,0.098655105,0.096511126,0.107060194,0.10138929,0.14938259,0.13240707,0.091706276,0.12146819,0.14882624,0.05301702,0.09011936,0.121795356,0.1067909,0.089734375,0.087325215,-1.1920929e-07,0.09781492,0.13040006,0.096390545
130_bat.png,0.078115165,0.072138846,0.09892315,0.10355544,0.08520293,0.06991124,0.08362341,0.11284757,0.07567203,0.10094011,0.08428693,0.07973331,0.07740331,0.08431506,0.078642726,0.12846583,0.08377004,0.08533591,0.07659984,0.124673426,0.082999945,0.08626115,0.08214474,0.08465147,0.086028814,0.06605643,0.09781492,1.1920929e-07,0.08807552,0.08312845
132_bat.png,0.102874875,0.061130285,0.034543157,0.03439772,0.07857269,0.07062149,0.04526359,0.07172668,0.06962836,0.098744035,0.07480395,0.08778775,0.082146466,0.085630655,0.06260443,0.072692156,0.05947703,0.07658136,0.07887006,0.10122484,0.09187138,0.10443324,0.03213203,0.09856075,0.091055036,0.0694021,0.13040006,0.08807552,-2.3841858e-07,0.07067454
133_bat.png,0.061469913,0.07708228,0.0851832,0.09340453,0.065722585,0.04840207,0.076618135,0.058560073,0.038238347,0.055972576,0.05943334,0.06172216,0.058921993,0.07299113,0.07011348,0.06306076,0.05304849,0.035538495,0.04913175,0.06474942,0.08081341,0.070150554,0.07392299,0.080082595,0.043474555,0.052581966,0.096390545,0.08312845,0.07067454,-1.1920929e-07
