201_bed_copy,202_bed_copy,203_bed_copy,204_bed_copy,205_bed_copy,206_bed_copy,207_bed_copy,208_bed_copy,209_bed_copy,210_bed_copy,211_bed_copy,212_bed_copy,213_bed_copy,214_bed_copy,215_bed_copy,216_bed_copy,217_bed_copy,218_bed_copy,219_bed_copy,220_bed_copy,221_bed_copy,222_bed_copy,224_bed_copy,225_bed_copy,226_bed_copy,227_bed_copy,228_bed_copy,229_bed_copy,230_bed_copy,231_bed_copy,232_bed_copy,233_bed_copy,234_bed_copy,235_bed_copy,236_bed_copy,237_bed_copy,238_bed_copy,240_bed_copy,241_bed_copy,242_bed_copy,243_bed_copy,244_bed_copy,201_liv_copy,202_liv_copy,203_liv_copy,204_liv_copy,205_liv_copy,206_liv_copy,207_liv_copy,208_liv_copy,209_liv_copy,210_liv_copy,211_liv_copy,212_liv_copy,213_liv_copy,214_liv_copy,215_liv_copy,216_liv_copy,217_liv_copy,218_liv_copy,219_liv_copy,220_liv_copy,221_liv_copy,222_liv_copy,224_liv_copy,225_liv_copy,226_liv_copy,227_liv_copy,228_liv_copy,229_liv_copy,230_liv_copy,231_liv_copy,232_liv_copy,233_liv_copy,234_liv_copy,235_liv_copy,236_liv_copy,237_liv_copy,238_liv_copy,240_liv_copy,241_liv_copy,242_liv_copy,243_liv_copy,244_liv_copy
1.6789123,1.576826,1.8704898,1.9327562,1.7852587,0.31398153,0.6982082,1.7032369,1.3907202,1.5482337,1.1285596,2.0909119,1.6573442,1.2296039,1.634625,1.008982,0.6760535,1.2569997,0.28013662,1.1433395,0.8170802,1.577267,1.207366,0.86136305,1.7047563,1.7444237,1.1025754,-0.08383545,0.84563756,1.4836129,0.74844956,1.9986233,0.8881041,1.5534376,0.57380694,0.5500448,1.414611,1.7053769,1.2020855,1.5710448,0.693405,1.5799127,-0.09892429,1.0714779,0.7753012,0.30579188,0.56564325,0.8382776,0.3960783,1.75692,0.9150351,0.18582731,0.909283,0.34099454,0.52461463,0.81201917,1.4049685,0.724048,0.6570226,0.7077628,0.878445,1.0264028,1.4887497,1.0036094,0.39963704,0.9378471,0.40578908,0.3920593,0.67237777,0.26887643,0.6192456,1.6875321,1.1651223,1.034376,1.2368563,0.4710868,0.23106751,0.99066395,0.43908185,0.804302,0.77452874,0.8105087,0.781366,1.0607765
-0.3614121,-0.010309711,-0.22733964,-1.070041,-0.46233723,0.9905038,-0.8111223,-1.3265065,-1.1530572,-0.851959,-0.7268185,-0.40241468,-0.968172,0.31773996,-0.3789642,-0.061322317,-0.38264355,-0.38764057,0.087865226,-0.86520636,-0.70495415,-0.2141207,0.30576304,0.40994594,-1.1172833,-0.34673738,-0.6030951,-0.39717886,-0.34120983,-0.85212153,-0.060625106,-0.73566794,-1.6104186,-0.45405477,-0.8395024,-0.5575497,-0.83869356,-0.23800178,-0.8671259,0.5234346,0.20194077,-0.32270288,-0.074920006,-0.24994656,-0.34782666,-0.016484728,0.47190332,0.11302854,-0.24625127,-0.45666355,-1.3347273,0.09616796,0.5050874,0.44306797,-0.032604296,0.21467285,0.28431845,-0.090395354,0.27177268,0.37658587,0.8727374,-0.41839656,-0.47236383,0.25777763,0.32070222,0.18010487,0.15977104,0.7136621,-0.40478602,0.044266183,-0.1143696,-0.11400332,-0.077591896,-0.57580334,0.13644372,0.35619983,-0.16459878,-0.31672052,0.6708724,-0.6319561,0.06903407,0.47431195,-0.30823913,-0.16865619
-1.070982,0.14045773,0.4445678,-0.22353894,0.8619458,-0.1259448,0.4194455,0.03864063,-0.19540355,0.8057609,-0.07392432,-0.11033402,0.26033008,-1.176949,0.03238722,-0.101069644,0.67435837,-0.6744107,0.5155048,0.07416322,0.20278336,-0.5352882,-0.44866276,0.10030574,0.20801827,-0.39169747,0.20352106,-0.76744264,0.5555807,-0.08156405,-0.42221135,-0.008118642,0.7256158,-0.08467278,-0.19146019,0.048994537,0.14319457,-0.12551096,-0.14495048,-1.3178408,0.23168221,0.5794544,0.2884601,0.2947935,0.72380364,0.35571495,0.8920484,0.41156772,0.38044637,0.014878262,-0.36104947,0.030745728,0.28666314,0.055673484,0.1258,0.5711453,-0.73254263,0.2746065,-0.19411524,-0.8335357,0.24030413,0.11034528,-0.10601042,0.7491351,-0.10305943,-0.15277392,0.45354575,0.4032901,0.06166231,0.43050313,0.23018925,-0.3095823,-0.3856871,0.12885399,-0.21015431,0.5889103,0.48091048,0.26706368,1.0245335,-0.6069054,0.7209337,-0.35001403,0.40943673,0.049492266
-0.019989068,0.45417708,-0.17443961,0.4810856,0.6285186,0.5516515,0.1580057,0.23889115,0.5509477,-0.10178787,-0.014528382,-0.39622444,-0.2478839,0.31824672,-0.21961606,-0.13982168,0.5961267,0.14581105,0.4482719,0.35748377,-0.19029824,-0.12474728,-0.14728525,0.14290237,0.36611512,0.04403556,0.15996611,-0.26107278,0.31256834,-0.15410288,-0.0683315,0.16540769,0.21721306,-0.011665479,-0.28981844,-0.69317716,0.44592285,-0.15311205,0.26916894,0.15399498,0.044017512,0.036479436,1.1070565,0.5522921,0.18059139,1.2270437,0.3396451,0.5514744,0.1394783,0.71994674,0.44459486,1.264903,1.317045,0.28873634,0.5069442,0.2059537,0.014997067,0.34270513,-0.12085635,0.8596721,-0.053118426,0.014241808,0.61713856,0.78355306,0.30231375,0.94974464,0.6110898,-0.0270499,0.33353922,0.2286979,0.9757483,-0.13360667,0.6035184,0.23201917,0.43098563,0.5020963,0.61625385,-0.39277634,1.2922586,0.24980259,0.56249124,0.25410795,0.7413951,0.11180963
-1.0941743,-0.5761836,-1.061606,-0.9907039,-0.71821254,-0.8037898,-0.9780068,-1.3090321,-0.8972224,-0.37007794,-0.7872345,-0.74212366,-0.55902076,-0.67791903,0.021580655,-0.7367404,-0.31813207,-0.6666122,-0.7708783,-0.90060383,-0.53994715,-0.13087617,-0.7034216,-0.50111836,-1.5117191,-0.6846006,-1.3424387,-0.52904713,-1.160726,-0.2058918,-0.5919686,-0.7360265,-0.80580825,-1.2247149,-0.6092852,-0.4597048,-0.7144927,-0.4340713,-0.951889,-0.29490235,-0.7626029,-0.24648982,-1.7844075,-0.69676805,-1.2952325,-0.8067322,-0.6147943,-1.0767728,-0.26349497,-1.058057,-0.728828,-0.5796317,-0.81323063,-0.7671296,-0.20123161,-0.5159155,-0.1412618,-0.6758372,-0.70382386,-0.3233806,-0.27625778,-0.1477346,-0.571526,-0.67350876,-1.268638,-0.9014162,-0.24779183,-1.2607203,-0.44527572,-0.33401966,-1.135189,-0.0858808,-0.8670471,-0.31512627,0.29624102,-1.0554867,-0.95827127,-0.6697058,-0.741086,-1.3637254,-1.1983191,-0.77605015,-0.6947023,-0.59554434
-0.71116316,-0.32721305,-0.4916812,-0.04455399,-0.3022255,-0.16399072,-0.27954948,-0.081840664,-0.46929178,-0.41596928,0.012615347,0.31799245,-0.61857957,0.50652075,0.6974901,-0.16411269,-0.49792755,0.014888909,-0.4304084,0.34476024,0.3013879,0.3747787,0.36579525,0.75588447,-0.50323796,0.4433668,-0.2143892,0.0056600524,-0.28134507,0.54943514,-0.2701825,-0.48841152,-0.6133857,0.42289194,-0.53535825,0.66353816,0.12319961,-0.15959585,-0.6663924,-0.6422118,0.51871485,-0.9678647,1.1261948,0.32538766,0.643752,0.31380287,-0.19832289,-0.5411491,0.48895597,1.3278977,0.44060782,0.6525577,0.779419,0.573717,1.1058263,0.4411721,-0.25232577,0.7573677,0.58867604,0.44252634,-0.17048298,0.7035416,0.3804382,0.7430181,1.024627,0.2925528,-0.03749137,-0.6755437,0.32238474,0.33432934,0.47663787,0.68294567,0.41486692,-0.17132093,0.45973796,0.3413274,1.0181158,-0.105038844,-0.052648254,0.8056053,0.10688232,0.07692145,-0.1719681,0.26791337
-0.7053823,-1.1705602,-1.5222638,-1.4578041,-1.0225322,-2.4079149,-0.41174057,-2.0104356,-0.51444215,-1.1229447,-1.6016239,-1.2098181,-1.4534868,-1.2349982,-1.4112239,-1.5374185,-1.4981402,-0.623207,-1.4363258,-1.2726189,-0.33220896,-1.7678449,-1.3278108,-2.1260712,-1.2410921,-1.0157336,-1.2600635,-1.0817498,-1.4337255,-0.8081201,-1.0446678,-0.80838364,-0.414179,-1.6378412,-1.4866419,-1.1769345,-1.4451333,-1.40842,-0.96968204,-1.3007321,-1.8023815,-1.0784045,-1.9616101,-1.7068412,-1.9936951,-1.714779,-1.7168105,-2.1481123,-1.4251876,-1.2370778,-1.4215482,-1.1236542,-2.0364156,-1.9720434,-1.2586418,-1.8144696,-0.62928087,-1.975418,-1.1904863,-1.0006403,-0.5794641,-2.0913832,-1.1224765,-1.952613,-2.1362436,-2.401461,-1.896218,-1.9537932,-1.5604159,-1.0465217,-1.4650357,-1.6448197,-1.5343618,-0.42574292,-0.8193965,-2.2720766,-2.0982938,-0.46382305,-2.238931,-1.9422977,-2.2124243,-2.1702442,-1.7683004,-0.8282787
-0.32343346,0.06305067,-0.0782085,0.052386623,0.6203934,0.17266251,0.67096245,-0.43769157,0.42577907,-0.73684883,0.40962294,-0.7123551,-0.6387757,-0.43932328,-0.4292333,-0.1613191,-0.24642077,0.34724975,0.29586977,-0.7222577,-0.47297505,-0.8027117,-0.33888733,0.63042134,-0.03718136,-0.5351359,0.46956542,0.42913613,0.059118282,-0.32969943,-0.50260013,-0.034028545,0.617774,-1.023829,0.17925675,-0.88646543,-0.63341755,0.036738425,-0.98021525,-0.15805078,0.38699615,-0.69016373,-0.27142456,0.3204454,-0.39033255,-0.21770243,0.554786,0.7769396,-0.41255844,-0.39836246,-0.14423247,-0.540296,-0.6294402,-0.2434258,-0.5561645,0.17119715,0.45740053,-0.15041167,0.08735685,0.2567872,0.1526022,-0.44587448,0.50726676,-0.61273944,0.11417201,-0.09905004,-0.49736044,0.5774564,0.12337146,0.9604873,0.18959613,0.05362739,0.50051594,-0.06245489,-0.52199185,0.2960442,0.010250802,-0.6294104,0.29716414,-0.4146539,0.06386947,0.80567837,0.9119781,-0.83136135
0.40518326,-0.22878681,-0.14110897,0.08185171,0.60016966,-0.9820991,-0.37490845,-0.7577419,-0.30356196,0.11372514,-0.64856106,-1.0567241,-0.18189965,-0.35629192,0.31802157,-0.30073333,-0.54995406,0.08678409,-0.4074126,0.40150622,-0.19886388,-0.6307618,-0.14654908,-0.6782498,-0.40723494,-0.7292167,-0.3804832,0.08627442,-0.09198262,-0.3292178,-0.15263687,-0.085934184,-0.8375816,-0.018344007,0.046802092,-0.7161932,-0.15716034,-0.036355704,-0.07802121,-0.40770164,-0.19374444,-0.23814356,-0.47410825,-0.5341242,-0.7942006,-0.9770457,-0.03770212,0.17739648,0.12068202,-0.31914586,-0.7443078,-1.3440826,-1.1090735,-0.90653443,-0.9953692,-0.60104406,0.085273355,-0.37909064,-0.57678926,-0.3793126,0.20468564,-0.28575948,-0.2347027,-0.59821075,-1.1509131,-0.58312786,-0.08174152,0.026101751,0.4336625,-1.2969521,-0.88989747,0.11429868,-0.59492344,0.20272925,-0.032515258,-1.0883541,-0.6488361,0.14048581,-0.39710537,0.01649311,-0.6269108,-0.06895122,0.14700362,-0.67846096
-1.1484524,-0.61008906,-1.3190762,-0.52750975,-0.9294174,-1.037937,-0.67138225,-0.24866064,-0.7893935,-0.2781337,-1.0055166,-0.7319713,-0.6365406,-0.83705777,-1.6560333,-0.9026785,-1.069065,-0.8728157,-1.2634534,-0.25486732,-0.40870342,-0.61302304,-1.1569444,-1.4088603,-0.33502382,-0.72006094,-0.77269876,0.4696746,-1.0275072,-1.5719323,-0.5137205,-0.5293481,0.060366683,-0.80649596,-1.1004199,-0.718679,-1.5370094,-0.9736222,-0.29841915,0.1039182,-0.620034,-0.43043777,-0.7875748,-0.4260667,-1.1008667,0.4495467,-1.0736365,-1.5105238,-0.7674825,-1.3369728,0.09641759,-0.3740395,-1.3034765,-0.42687666,-1.446086,-1.2258627,-1.0881832,-2.0253034,-1.3920667,-1.2533349,-0.27905154,-1.642252,-0.39681038,-1.0253105,-1.5515654,-1.1101183,-0.52926075,-0.4740085,-1.0830679,-0.6284232,-0.4991704,-0.96911407,-1.7712519,-1.2673998,-0.30822742,-1.1846076,-1.5438638,-0.17784175,-2.0269957,-0.9105601,-0.5483868,-0.67950416,-1.2905207,-0.5921644
