101_bat,102_bat,103_bat,104_bat,105_bat,106_bat,109_bat,111_bat,112_bat,113_bat,114_bat,116_bat,117_bat,118_bat,119_bat,120_bat,121_bat,122_bat,123_bat,124_bat,125_bat,126_bat,127_bat,129_bat,130_bat,131_bat,132_bat,134_bat,135_bat,136_bat,137_bat,138_bat,139_bat,140_bat,141_bat,101_kit,102_kit,103_kit,104_kit,105_kit,106_kit,109_kit,111_kit,112_kit,113_kit,114_kit,116_kit,117_kit,118_kit,119_kit,120_kit,121_kit,122_kit,123_kit,124_kit,125_kit,126_kit,127_kit,129_kit,130_kit,131_kit,132_kit,134_kit,135_kit,136_kit,137_kit,138_kit,139_kit,140_kit,141_kit
-0.19819409,-0.27776626,-0.40806526,-0.17016809,-0.415914,-0.25157782,-0.001988858,-0.28660417,-0.3960158,-0.33860493,-0.20469715,-0.4404381,-0.32820755,-0.67860484,-0.35459682,-0.21815364,-0.6559783,-0.4692371,-0.22760794,-0.20012277,-0.4975965,-0.40417603,-0.15644452,-0.34173864,-0.34827176,-0.6449777,-0.42951056,-0.27578938,-0.122051686,-0.3789255,-0.40870482,-0.74431837,-0.40867728,-0.14286882,-0.5257042,0.11317392,-0.22670205,-0.29572707,-0.31626886,-0.24839674,-0.4801544,-0.21506676,-0.23382813,-0.24951258,-0.036361385,-0.05789578,-0.2705907,-0.19937447,-0.21699041,-0.3315009,-0.11812864,-0.23185924,-0.13412249,-0.41485322,-0.29207265,-0.32581836,-0.25872713,-0.31892973,-0.2983138,-0.14623544,-0.29317477,-0.2326561,-0.2681902,-0.13404816,-0.14737074,-0.3838159,-0.33091488,-0.14240971,-0.15914376,-0.1981135
-0.34123605,-0.30364016,-0.21022344,-0.26860946,-0.16054328,-0.48977923,-0.27113268,-0.37248027,0.10027436,-0.3359888,-0.25866497,-0.13622832,-0.43551114,-0.18087742,-0.34221792,-0.2827039,-0.0858725,-0.2363596,-0.30212906,-0.24361601,-0.35708165,-0.44882828,-0.5298447,0.028683964,-0.28463972,-0.05103868,-0.44992796,-0.14409071,-0.5949662,-0.44563025,-0.2742938,-0.19792539,-0.400011,-0.4716096,-0.298195,-0.34337693,-0.18888459,-0.010800183,-0.018131614,-0.031495202,-0.14289813,-0.37632805,-0.102828585,0.06170602,-0.17622916,-0.06872631,-0.036899924,-0.3022052,-0.25540555,-0.3040427,-0.3336516,-0.12818442,-0.2972847,0.07431705,-0.053894684,-0.2519639,-0.27017164,-0.13305977,-0.20300217,-0.17087528,-0.17707907,-0.28759882,-0.11733696,-0.20092373,-0.010308668,-0.12449385,-0.042306304,-0.5064315,-0.13898623,-0.020557426
0.34522486,0.1919674,0.5573312,0.24342602,0.4431667,0.28867245,0.36722684,0.057509452,0.5357867,0.4933793,0.20091684,0.1098807,0.23948568,0.5166911,0.3730134,-0.009515636,0.30428764,0.35959727,0.3060714,0.29835853,-0.02596119,0.39420646,0.19250382,-0.0963471,-0.054604776,0.32134277,-0.10138248,0.6600555,0.3834961,0.35149157,0.55606675,0.55600274,0.25426722,0.25016195,0.15744852,0.65653956,0.39131737,0.31468347,0.18410668,0.45662826,0.5735599,0.97408974,0.51245284,0.49395585,0.15122399,0.40782326,0.5205084,0.11505161,0.6053313,0.623086,0.52214897,0.4737557,0.53222895,0.2427291,0.1527244,0.112212375,0.47374934,0.49819204,0.59719884,0.7911321,0.5520708,0.5776677,0.36956272,0.9746864,0.4014234,0.34004724,0.7330359,0.5118937,0.05318965,0.5667222
-0.18426865,-0.33998,-0.24546422,-0.4711275,-0.18316403,-0.31506824,-0.71537304,-0.5137175,-0.63584596,-0.3674215,-0.45790687,-0.4616719,-0.45796213,-0.0041102767,-0.21405342,-0.47645053,-0.14498463,-0.36398116,-0.42469534,-0.51259845,-0.38997698,-0.09016608,-0.3742858,-0.48862863,-0.3125137,0.002873063,-0.32745203,-0.06458968,-0.4463588,-0.32499275,-0.026515216,-0.14780329,-0.57689846,-0.48591024,-0.28154066,-0.2592244,-0.35395902,-0.54552794,-0.4397654,-0.27720743,-0.23559637,-0.30776197,-0.55655324,-0.31961232,-0.2673968,-0.35601538,-0.5653072,-0.51627547,-0.3612935,-0.11840129,-0.37488872,-0.32059377,-0.5412508,-0.3266419,-0.3823114,-0.32032067,-0.19164729,-0.35896832,-0.28137532,-0.39715773,-0.052593127,-0.13330093,-0.46550432,-0.54445523,-0.31521383,-0.29828748,-0.24563435,-0.21440865,-0.38559395,-0.4611463
0.46937117,0.36616215,0.6901112,0.33076954,-0.066126086,0.63735974,0.3117479,0.442597,0.1820935,0.45258212,0.4558416,0.44887286,0.5378985,0.49810576,0.46783647,0.47096506,0.43984228,0.42297676,0.43023488,0.29089683,0.5977826,0.37040794,0.6323408,0.5744753,0.22060268,0.62658566,0.49725378,0.46085986,0.69596314,0.37446576,0.23651919,0.48995692,0.59503895,0.4313984,0.39661986,0.28174764,0.26931027,0.6901579,0.36292157,0.47538877,0.27533606,0.112028904,0.5123563,0.4720201,0.28305262,0.56094944,0.2776053,0.54776525,0.47284618,0.47814953,0.54412913,0.43002412,0.45107934,0.5075402,0.45764065,0.6621874,0.5505535,0.35387504,0.4154989,0.44894674,0.54990447,0.23659588,0.4686854,0.40522614,0.48463818,0.07704981,0.2962269,0.121362686,0.51483285,0.3143957
-0.13054606,-0.11651054,0.18955332,0.03039205,-0.025245551,0.068576604,0.019460775,0.1318283,0.110677585,0.010783188,-0.21170284,-0.03972259,-0.20523447,0.049415775,-0.15701143,-0.059942752,-0.047497556,-0.15808605,0.032881916,-0.07709299,-0.07123786,-0.2713532,-0.1644902,-0.06942201,-0.009156816,-0.0854107,-0.11241504,-0.26170325,0.016058967,-0.1132823,-0.0153501555,-0.058351487,0.016779132,0.07579276,0.10248326,0.055336285,0.026010018,-0.069067016,-0.12475586,-0.07218653,-0.04395385,-0.29582363,-0.25283334,-0.09749845,-0.14809811,-0.232196,-0.20804317,-0.10679747,-0.07156376,-0.1292559,-0.078379855,-0.122417435,-0.011713028,-0.11755632,-0.29058996,-0.107202135,-0.23727793,-0.14968197,-0.096376315,0.1557283,-0.09981398,-0.3282055,-0.1303536,-0.27663606,-0.13205133,0.10351987,0.05535356,-0.28066194,-0.09706176,-0.08657396
-1.2824258,-1.0669088,-1.155339,-1.0630838,-0.766328,-1.3674406,-0.9462972,-1.6424143,-0.67582524,-0.89988625,-0.7294412,-1.1123941,-1.1365488,-0.68077946,-0.91388905,-0.7413088,-1.0259843,-1.0459678,-0.64654803,-1.158153,-1.2975291,-0.933116,-1.1249275,-0.8922469,-0.99879384,-0.9937989,-1.4027582,-0.8428782,-1.4276378,-1.0781975,-0.5205905,-0.63742924,-1.3720075,-1.2977765,-1.0490925,-1.3429786,-1.6725956,-0.97435164,-1.0120344,-0.7492555,-1.0076289,-0.49260214,-0.8566833,-1.1299033,-1.3745043,-0.5923118,-0.50930375,-1.1182567,-0.97752583,-0.72856677,-1.1153867,-0.88837254,-1.0908973,-1.229012,-0.88888955,-1.0720423,-0.6200406,-0.93863493,-1.0247835,-1.0935365,-0.9820952,-0.3142898,-0.76997787,-0.9421248,-0.8518619,-0.81414443,-0.63085693,-1.182987,-1.4322108,-0.2962276
0.14414847,0.08721492,0.19619249,0.14071454,-0.030661039,0.06872781,0.16737676,-0.13220778,0.20465934,0.10502863,0.19766419,-0.22141609,0.15936117,0.035302997,0.12210218,0.1415557,0.18500355,0.13117076,0.050926402,-0.17317231,0.055176333,0.06393333,-0.037414253,0.15063111,-0.042224705,-0.089390025,-0.05951473,0.14263439,0.18573028,0.11992674,0.14089642,0.10848114,0.2302916,0.15587938,0.11766598,0.032242894,0.11880122,-0.015392438,0.04372245,-0.04054898,-0.14442386,0.2019426,0.08054981,0.33618054,0.31982213,0.23339964,0.08562844,0.022258282,0.16547124,0.2493869,0.122535035,0.018686697,0.15053193,0.109284654,0.022204563,0.1643207,0.1850695,0.1265262,-0.009204619,-0.05150582,0.33765092,0.3631428,0.09876138,-0.00879325,-0.14125788,0.4622996,0.1166504,0.08424162,0.16079809,0.22136836
0.04204382,0.0027463883,0.0002564788,0.21564719,0.21103607,-0.102097176,0.1918709,0.102076255,0.26213112,0.21432978,-0.057402194,0.036349952,0.14588757,0.15826385,0.2386656,0.09794304,0.16653866,0.06780188,-0.09301934,0.18363975,0.08557164,0.14920291,0.16862683,0.25358903,0.12029567,0.20272994,0.16728203,0.05500035,-0.01100713,0.13953641,0.025845438,-0.11459905,0.29632512,0.10609761,0.31951585,-0.15445065,0.20156299,-0.12188084,0.113436155,-0.07565796,0.03515418,0.08298195,0.07643847,0.096860304,0.01850675,-0.053043842,0.037063926,0.09184518,0.083792716,-0.0801716,-0.017718926,0.063187934,-0.10343784,0.19538957,-0.036086977,0.07103492,-0.10472062,0.15090072,0.08972208,-0.1367152,0.019000486,0.22699054,-0.09389498,0.06957207,-0.08593021,0.2214183,-0.017664433,0.027168676,0.056424573,0.04061663
-0.14944713,0.016919583,-0.092561305,-0.001857549,-0.10704917,-0.11567111,-0.117985934,0.042227954,-0.19093107,0.005832374,0.119624995,0.104182005,0.1356934,-0.091757074,-0.08709037,-0.14896479,-0.29758018,0.085761555,0.0061345547,0.19206724,-0.07977861,-0.10537681,-0.15387684,-0.12300801,0.14375514,-0.22457567,-0.09630045,-0.17563467,-0.18345565,-0.05283922,-0.10000116,0.17310596,0.08850552,-0.12222919,-0.22772253,0.12208627,-0.16055578,0.08323552,-0.32622632,-0.2320132,-0.27448544,-0.066290274,0.07522504,-0.10542439,-0.42807865,0.06426539,-0.024244964,-0.011299595,-0.046811298,-0.1853062,-0.12008487,-0.25194132,0.13638812,-0.29395473,-0.2280168,-0.106030926,0.018726125,-0.076583356,-0.3146336,0.018002152,-0.10510269,-0.18844193,-0.020086437,-0.18305662,-0.33802217,-0.012074724,-0.302278,-0.19935119,-0.12708767,-0.22478849
