201_bed,202_bed,203_bed,204_bed,205_bed,206_bed,207_bed,208_bed,209_bed,210_bed,211_bed,212_bed,213_bed,214_bed,215_bed,216_bed,217_bed,218_bed,219_bed,220_bed,221_bed,222_bed,224_bed,225_bed,226_bed,227_bed,228_bed,229_bed,230_bed,231_bed,232_bed,233_bed,234_bed,235_bed,236_bed,237_bed,238_bed,240_bed,241_bed,242_bed,243_bed,244_bed,201_liv,202_liv,203_liv,204_liv,205_liv,206_liv,207_liv,208_liv,209_liv,210_liv,211_liv,212_liv,213_liv,214_liv,215_liv,216_liv,217_liv,218_liv,219_liv,220_liv,221_liv,222_liv,224_liv,225_liv,226_liv,227_liv,228_liv,229_liv,230_liv,231_liv,232_liv,233_liv,234_liv,235_liv,236_liv,237_liv,238_liv,240_liv,241_liv,242_liv,243_liv,244_liv
-0.032729477,1.0209832,1.4369965,1.9826272,0.75797004,1.4275615,1.5826925,0.6512734,0.98321134,1.0747353,1.3108796,1.507199,1.916513,1.8596098,0.9196272,0.49190366,0.42976052,1.4357495,0.86418605,1.4048408,2.272426,1.1325727,0.90438706,-0.2033944,1.5741553,0.9617754,1.1431211,1.6510046,1.9194143,1.1196718,1.9889715,1.6338751,1.0291198,1.1201094,1.6255922,1.0622163,1.3825024,0.87614685,1.535842,0.85740054,1.0549276,1.748679,1.6679138,0.80728734,0.4014018,1.1600462,0.99324757,0.77954113,0.8154145,1.8626937,1.2315834,1.157554,2.0638053,0.44997436,0.8416418,1.3091127,1.2960227,1.6592922,1.2259023,1.3076125,1.717712,0.69093204,0.9025289,0.7922751,1.0641015,0.77181876,0.49126884,0.9484592,0.5146247,0.8745334,0.42262435,1.2937351,0.4246319,0.114520974,1.0865142,1.4361004,1.138513,1.0289577,1.8753775,0.7978964,0.94817394,0.6144276,0.28706798,0.9118972
0.833315,-0.26943603,-0.69391346,-0.5206098,0.06417609,-0.29659885,-0.472197,0.030547746,0.5649865,-0.33037382,-0.10596009,-0.14662635,-1.1893361,-0.3927037,0.23975751,0.12150771,0.7883125,-0.5993545,0.07906214,-0.14440735,-1.3103198,0.51308745,0.8690344,0.72256744,-0.5051018,-0.26574227,-0.7448962,-0.34693432,-0.24536698,-0.041599516,0.41736853,-0.3236591,-0.5756449,0.557106,-0.11512027,0.2544282,-0.48886406,0.014299158,0.23259853,0.016182676,0.05415455,-1.0630454,-0.20508307,0.32796443,-0.17881225,0.46792755,0.37504652,0.6629676,-1.3218371,0.11847326,-0.4858723,-0.73537767,-0.16654004,0.53231585,-0.23005955,0.16749045,0.0601788,0.076505624,0.42862332,-0.5962763,0.4482757,0.79737985,-0.08899979,-0.29595983,0.5323467,0.39666465,0.23774065,0.64833575,-0.7310001,0.78952146,0.6907067,0.4277646,0.81551707,0.53166705,-0.51863587,0.0978099,-0.7459745,-0.52102786,-0.29421923,0.33203104,-0.3032593,0.3067873,-0.14845718,-0.43647903
-0.8578191,0.816517,0.91808987,-0.27359563,0.26074204,-0.5993211,0.67839587,0.5286789,0.3045856,-0.23817629,-0.07373585,-0.48731875,0.57888865,0.27668878,-0.112297215,0.2835348,-0.35395452,-0.79021686,0.50512433,-0.12653321,-0.1615092,-0.36793414,-0.8127216,-0.2369878,0.07420459,-0.5860541,0.64838487,-0.7123023,-0.3380081,-0.7024806,-1.0232099,-0.6254475,-0.27630726,-0.3038523,-0.91982377,0.16660719,0.8267002,0.6492075,0.4038937,-0.112931095,-0.19226494,0.88496184,0.094103955,0.39739716,0.2353738,-0.76048446,0.42410028,0.093343474,0.24740475,0.049740113,-0.40104705,0.18381254,0.006795919,-0.7372981,-0.65235037,-0.5863462,-0.45454478,0.13247286,-0.46705496,-0.3928688,-0.66091025,-0.3252348,0.09488144,-0.2476832,0.091824144,0.33035618,0.39975616,-0.6934077,0.23143306,0.46618763,-0.42635384,-0.30231026,0.035587855,0.5001174,0.0392778,-0.7845006,-0.049383815,-0.5792727,-0.615091,-0.5139313,-0.17144135,-0.06100318,-0.66586334,0.5716227
0.26121664,-0.34285817,-0.056466177,0.06444805,-0.22003628,1.1267053,0.026746862,0.25395754,0.06627571,0.23395202,0.12979884,-0.33903575,0.3426418,-0.47689244,0.018355979,-0.02328402,-0.19288659,0.35875311,0.5265489,-0.10377211,0.48459598,0.49112156,0.18884702,0.66710097,0.6448661,0.16782266,0.033766534,-0.44523534,-0.5768403,-0.0583213,-0.29975387,0.20403136,-0.15408246,0.14242798,0.11044964,0.08620528,0.26317778,-0.124203406,0.92370385,0.114416726,0.037886407,-0.16580252,0.023642633,0.40563276,0.6316316,0.7301618,0.13806462,0.09759524,0.9314834,0.3486274,0.8677865,0.5474328,0.23590647,0.23023596,0.1677066,0.56407076,0.52254665,0.43128017,0.028612548,0.22213024,0.72671324,-0.3441213,1.2013862,-0.071473524,0.40817046,-0.06501661,0.6218709,0.7065088,0.33154655,-0.20415388,0.34756953,-0.18251991,0.4314424,0.06425124,0.053852443,-0.6532695,0.39157227,-0.3183145,0.46274617,0.40231836,0.9230085,-0.50195324,0.20707954,0.29901317
-1.6190832,-0.66821706,-0.79369646,-0.9488958,-0.67014945,-0.5357059,-0.62211543,-1.2299546,-1.5563124,-1.8097992,-0.8423388,-0.68418425,-1.5090544,-1.0524027,-0.4394095,-0.9929319,-1.0802103,-0.1687502,-0.3465036,-0.51455486,-1.4226266,-0.2691383,-0.9815897,-0.82095176,-1.2129501,-0.8162785,-0.9199976,-0.35700452,-0.27969596,-0.3025765,-0.39612737,-0.7307197,-0.32066637,-0.8673911,-0.11243837,-0.5815321,-1.0325457,-1.71193,-1.5713292,-0.3022721,0.04237958,-0.59677786,-1.4198025,-0.7557668,-1.1771187,-1.125024,-0.5815221,-0.6517452,-0.30375418,-1.0875931,-0.9092292,-0.15542825,-1.0594485,-0.5332429,-0.97471607,-0.5990464,-0.97987163,-0.46076417,0.4713112,-0.7622271,-0.4771688,-0.12511835,-1.4752398,-0.9889865,-0.7454274,0.120090045,-0.9108466,-0.5755628,-0.7569162,0.096034475,-0.71348786,-0.56518257,-0.4831072,-0.6941972,-0.12659666,-0.45444068,-0.5675902,-1.0093305,-1.0094281,-1.1338129,-0.3713072,-0.18520364,-0.93831706,-0.8303601
1.2595744,-0.41027603,-0.48843917,0.097362444,0.38377056,-0.68371004,-0.069399,0.4521558,-0.073579095,-0.055890597,0.32523742,0.6930418,0.28926098,-0.07309446,0.43441063,0.45810002,0.9514115,0.5690042,-0.6055263,0.78886765,0.42232233,0.6246731,0.28847438,0.2762852,0.4908217,-0.23194936,-0.63577676,0.60653377,0.2563692,0.40680847,0.37466025,0.054861482,0.0036115586,0.5169722,0.3465241,0.2513324,-0.14512016,-0.43631074,0.89541304,-0.045622345,0.3255285,-0.071590066,-0.014887572,0.5639367,0.42382494,0.21242784,-0.18608843,-0.04868906,-0.26870716,-0.24418135,-0.79827356,0.08012828,0.17245206,0.82929075,0.66840535,0.18307103,-0.08235985,-0.05480198,0.3269109,0.20308757,-0.35180387,1.1522799,1.3434888,0.06462099,-0.10258002,0.73059314,0.007612025,-0.4311026,0.6353821,-0.07668374,-0.4579586,0.27257955,0.18827526,0.4686767,0.20341985,-0.59058774,-0.4216033,0.413484,0.06653039,0.41106024,0.9601646,-0.037937365,0.6700987,-0.18055679
-1.019,-1.4129717,-1.1939864,-1.1224093,-0.8729857,-1.2836362,-1.5488122,-1.9216169,-1.6080527,-1.059669,-0.9356143,-1.3583245,-1.0960232,-1.1225548,-0.7755258,-1.8529924,-2.0967143,-0.70560545,-1.6936595,-1.1491675,-1.1716524,-0.7129641,-1.36685,-2.641931,-1.7270278,-1.3265461,-1.3502834,-0.41727746,-0.5852703,-0.4774961,-1.2900311,-1.3305813,-1.0447427,-1.4043416,-0.70627934,-0.7470117,-1.3722067,-2.1045074,-0.8084195,-1.6832829,-1.1230067,-1.0141696,-1.3380847,-1.9527543,-1.775722,-0.498984,-1.5813196,-1.7783812,-0.2667599,-1.6035621,-0.15462302,-1.2244468,-1.6613641,-1.4330257,-1.2296295,-0.5700225,0.5321635,-0.8500356,-1.2051758,-0.9603316,-0.6718658,-0.982568,-0.8353239,-1.8869977,-1.5669012,-1.8039696,-1.0722172,-0.86323386,-0.9751995,-1.0632741,-0.90365475,-0.8014695,-1.6837761,-0.7262552,-0.3029,-0.6199249,-0.30931896,-1.3332313,-1.3019406,-1.8101113,-1.3859143,-0.71556574,-1.8594731,-1.0254103
-0.2289894,0.30875528,0.82624316,0.4987486,-0.32981366,-0.03643734,0.33259743,0.5177151,0.58483726,-1.9801985,-0.06670532,-0.5227229,-0.22225271,1.3634487,0.1549663,-0.07973681,0.24136658,-0.0038847812,0.6689265,-0.9177932,0.22210486,-0.58434194,-0.3656671,0.7790504,-0.6299215,1.1027,0.6333768,-0.42983574,0.30158052,-0.29206625,0.10140425,-0.66542256,0.16662604,-0.10017532,-0.06672725,0.67081136,0.20144397,0.49674952,-0.21969005,0.20670073,0.21839936,0.29344785,0.6142993,0.3634085,-0.31719407,0.2763491,0.86441636,0.95719343,0.516755,-0.3608133,0.34937298,-0.7955198,-0.078643814,-0.68071747,-0.3438423,-0.08279621,0.2746391,0.8006387,0.31066215,-0.12711293,0.32634643,0.3857771,-0.4823852,0.1131395,0.35334438,0.95414835,-0.53671163,0.6657749,0.14493993,0.22609803,0.9331416,0.20105666,0.19786036,-0.71543056,-1.0512165,0.47550255,0.043268427,-0.97493523,0.029629342,0.30241808,-0.35634804,0.164824,0.17342503,-0.063825004
0.643778,-0.35631758,-0.43121243,0.016910719,-0.09958949,0.21100365,-0.32214555,-0.712326,-0.38299242,-1.4499235,-0.33460882,-0.25385678,-0.5591798,-0.45532665,0.15957971,-0.47594112,-0.1981719,0.8332482,0.067637004,-0.69535035,0.0487619,-1.412427,0.06645934,-0.09000383,-0.7735461,-0.34257552,-1.0633572,-0.45740253,-0.65630555,-0.103765346,0.20962206,-0.14865606,-0.62067425,-0.054396253,-0.3219938,0.5000022,-0.2878283,0.22752222,-0.44471753,-0.872108,0.35841644,-0.28490487,-0.08391006,-0.5068973,-0.112747,-0.40459135,-0.5426266,0.22827385,-0.30661777,-0.43892998,0.1506301,-1.1517868,-0.07363322,-1.0600019,-1.3567123,-0.42797285,-0.8382931,-0.17669535,-0.1697238,-0.29454795,-0.2871893,-0.54793537,-0.511741,-0.8073766,-0.5530071,0.02299733,0.230922,-0.056235995,-0.035012834,-0.21635526,-0.8155356,0.7875156,-0.3783753,-0.40786037,-0.18443067,-0.5515598,-0.99837494,0.272525,-0.8005962,0.27040568,-0.5178562,0.2726996,-0.2750215,-1.4134052
-0.9347551,-0.6972519,-0.799574,-1.1934516,-0.8045272,-0.11696176,0.09977136,-1.0587052,-0.54541415,0.05691662,-0.6861328,-0.33353597,-0.34235123,-0.8658349,-0.49802026,-0.8952023,-0.8678242,-0.78896666,-0.3237201,0.022793781,-0.5140801,-0.020970192,-0.26860562,-0.0712278,-0.82068026,-0.30395427,-0.99698627,-0.91898495,-0.77453566,-1.3261577,-1.4724773,-0.2570649,-0.17705895,-0.7461516,-0.41417074,-0.69328225,-0.6425325,-0.78838396,-0.84978324,-0.15020427,-0.41241243,-0.6385568,-0.93760794,-1.185442,-0.8156394,-0.7562023,-0.99070126,-1.190451,-0.0410277,-0.6637412,-0.9768455,0.5149963,-0.41526434,0.21452713,-0.0054526525,-0.3052638,-0.59725595,-1.1680837,-0.8203888,-0.6732456,-0.435865,-1.2223551,-0.15020728,-0.30005157,-0.9891374,-1.5254189,-0.38636586,-0.056314237,-0.79366434,-0.5093782,-0.65747994,-1.3194592,-0.47518817,-0.90862554,-0.27178848,-0.11359377,-0.7787152,0.14419088,-0.9894601,-1.0785334,0.10707153,-0.8976509,-0.103731446,-0.7506121
