101_bat_copy,102_bat_copy,103_bat_copy,104_bat_copy,105_bat_copy,106_bat_copy,109_bat_copy,111_bat_copy,112_bat_copy,113_bat_copy,114_bat_copy,116_bat_copy,117_bat_copy,118_bat_copy,119_bat_copy,120_bat_copy,121_bat_copy,122_bat_copy,123_bat_copy,124_bat_copy,125_bat_copy,126_bat_copy,127_bat_copy,129_bat_copy,130_bat_copy,131_bat_copy,132_bat_copy,134_bat_copy,135_bat_copy,136_bat_copy,137_bat_copy,138_bat_copy,139_bat_copy,140_bat_copy,141_bat_copy,101_kit_copy,102_kit_copy,103_kit_copy,104_kit_copy,105_kit_copy,106_kit_copy,109_kit_copy,111_kit_copy,112_kit_copy,113_kit_copy,114_kit_copy,116_kit_copy,117_kit_copy,118_kit_copy,119_kit_copy,120_kit_copy,121_kit_copy,122_kit_copy,123_kit_copy,124_kit_copy,125_kit_copy,126_kit_copy,127_kit_copy,129_kit_copy,130_kit_copy,131_kit_copy,132_kit_copy,134_kit_copy,135_kit_copy,136_kit_copy,137_kit_copy,138_kit_copy,139_kit_copy,140_kit_copy,141_kit_copy
0.53062105,0.14343493,0.32602915,-0.007346441,1.138128,0.36563945,-0.067185044,0.7576691,0.52574724,0.32090306,0.61950415,-0.6271654,0.43039772,-0.25162914,0.023071457,-0.2582226,0.608586,0.7782188,-0.13732092,1.287714,0.14365318,0.48825458,0.18599579,0.77460206,-0.5958792,0.8208626,0.08522949,0.96211886,0.8705368,0.27106616,0.32689032,0.17229779,0.16277187,0.45055258,1.1773059,-0.87225705,-1.3123318,-0.18998657,-0.71443117,-0.55544317,0.68049026,-0.27595395,-0.76382804,-0.20073363,-0.50058424,-0.44948354,-1.4542487,-0.76868683,-1.2056488,-0.51317537,-0.82423323,-0.04942225,0.2365666,-0.51713854,-0.09180707,-0.53166807,-0.796761,0.059273977,-0.20180108,-0.74650913,0.3333444,-0.059062157,-1.1843021,-0.62109256,-0.7665801,0.22976625,-0.80414057,-0.654365,-0.546714,0.6057432
-0.24286291,0.039360482,-0.09930185,0.31703544,-0.24433681,-0.21390541,0.1159112,-0.39902514,-0.14945106,-0.24590525,0.3803617,-0.4074577,0.08089057,-0.32152307,-0.5909536,-0.5850252,-0.6403208,-0.5508951,0.5475134,0.29956996,-0.029862933,-0.705711,-0.070481636,-0.091213845,0.19682823,0.4060606,0.63880825,-0.17695753,0.28012574,0.4360558,-0.3323545,-0.30476826,-0.5909975,0.0077172816,-0.060540523,0.7756644,-0.68995863,-0.38860837,0.05364592,0.4048848,-1.3304274,-0.3030993,0.07083825,0.099444754,-0.87848806,-0.31702107,-0.4184491,-0.09316089,-0.64368254,-0.29758692,0.59774125,-0.3636373,-0.6447689,-0.8593332,0.17020114,0.45911118,-0.26031405,-0.16622463,-0.28577584,0.2952557,-0.7327861,-0.16341986,0.66664404,0.68533826,0.54190105,-0.95262384,-0.3378173,0.43356174,-0.018494634,-0.9295011
0.29012316,0.19827527,0.07234073,0.32299483,0.15225497,0.017922968,0.7326907,0.23389621,0.5222035,0.50820386,-0.04613381,0.06988165,0.29955998,0.10475327,-0.042193253,-0.30460292,0.24294108,-0.21116272,-0.092310674,-0.010233943,0.14901188,0.26733208,0.07794598,0.32796332,0.32110295,0.46011966,0.26624188,0.34740663,0.45215908,0.57682025,0.01845377,-0.5191437,0.067920044,0.373315,-0.0801431,0.99587584,0.55703175,0.55213165,0.13013327,0.44826236,0.46528333,0.5494691,0.29903254,1.2920946,0.7019329,0.31813186,0.15884699,0.7905242,0.19069995,0.26360965,0.84497964,0.6418162,-0.06568828,-0.00202458,0.20352727,0.17234008,0.3073936,0.6761885,0.4471535,0.71575594,0.27911317,0.6315343,0.2104271,1.1621776,1.3331542,-0.061204135,1.1382868,0.5968298,0.5623252,-0.29700997
-0.8298966,-0.057725515,-0.2951023,-0.814582,-0.6122537,-0.41680175,-0.66882765,-0.21095438,-0.34915248,-0.4863181,0.3887341,-1.0268896,-0.9964895,-0.18053706,-0.06161378,-0.0852938,-0.6487004,0.023484262,-0.64174026,-0.1481294,-0.17257312,-0.40084407,-0.278765,-0.41380578,-0.30864266,-0.51255095,-0.62617445,-0.302314,-0.5603065,-0.50262225,-0.06922462,-0.386378,-0.31970268,0.024341948,0.06702187,-1.7836466,-0.7926555,-1.1678408,-0.34657013,-0.9460178,0.016864711,-0.75266504,-1.3953812,-1.2768213,-1.094466,-0.8624897,-0.72373253,-0.14461435,-0.3577492,-0.0035419792,-0.7241195,-1.7075658,-1.1153849,-0.7184067,-1.1612874,-1.0890446,-0.94027025,-0.5664533,-1.0780616,-1.1074767,-0.80982363,-1.1718494,-0.8656167,-0.8183517,-0.8113732,-0.31146842,-1.3139191,-0.9470061,-1.1107439,-1.2096796
0.8853588,-0.4028681,0.7021698,-0.37196627,-0.25445914,0.91904646,0.65361667,0.8153065,0.6958852,0.43079007,0.5359796,-0.19919318,-0.3753607,0.6008107,0.4475559,-0.13588834,0.436778,0.26612312,0.26286024,0.25968158,0.29750735,-0.32141,-0.17362711,0.17730153,-0.22489055,0.35484162,-0.1342692,0.5511838,-0.05673758,-0.16821468,0.14462624,-0.98981196,0.32497865,0.12817442,-0.115182295,-0.20546997,0.25110912,0.27907705,-0.28989097,0.13304435,0.4106642,0.012772889,-0.066644296,0.5364496,0.22419104,0.4307235,0.521288,-0.11337479,0.5735537,-0.1937129,0.003695616,0.4585538,0.17995991,0.5286455,-0.8271688,-0.055271115,-0.2778086,0.89018404,0.837255,-0.23608197,1.3469287,0.53890353,0.64962906,0.26414952,0.25092384,-0.035690036,0.57651633,-0.4939751,0.5754357,0.20000389
-1.6035993,-1.2055005,-2.0347471,-2.128671,-1.9720248,-1.2537737,-1.901062,-2.154516,-2.1670592,-1.6097546,-1.8867426,-1.8976129,-2.5130508,-1.5631738,-0.83839756,-1.0136371,-1.6740551,-1.6648732,-2.1445618,-1.8915677,-1.5780183,-1.373322,-2.161531,-2.7872574,-1.0850873,-2.0375965,-2.5045638,-2.1931047,-1.9023651,-1.9689025,-1.5514619,-2.1634662,-1.7065027,-1.3679669,-1.294163,-1.9223973,-1.9842814,-1.5475726,-0.7936662,-1.1287355,-0.8328904,-1.5008882,-1.6996403,-1.967307,-1.097418,-2.0744262,-1.5084468,-1.9778111,-0.47354388,-0.73998433,-1.5230283,-2.5828245,-1.9082184,-1.4909656,-2.2541468,-1.5136207,-1.5757719,-1.655102,-2.529921,-1.5387126,-1.6551634,-2.2615452,-1.492634,-1.6091877,-1.7978332,-1.105048,-2.4690075,-1.7257857,-1.3603289,-2.4108067
-0.23855534,-0.5455569,0.10139119,-0.43443617,-0.1839323,-0.30711123,-0.30023327,-0.6866655,0.0023472179,0.11592141,-0.77662075,0.118027665,-0.5850025,-0.36955488,0.29753038,-0.4843639,0.21239331,-0.3625329,0.21822894,-0.3714884,-0.38858065,-0.34110728,-0.6503601,0.4714301,-0.83774376,0.44642606,-0.13642852,-0.37595963,-0.7226998,-0.40985593,-0.41308817,0.22995189,-0.08512493,0.029645056,0.13670886,0.21053424,-0.586239,-0.30364344,-0.28361294,-0.26356363,0.67441785,0.37602016,0.048573405,-0.28159082,0.78743386,-0.43925002,-0.41577104,-0.24313083,0.90147173,-0.7668144,-0.66474456,0.30751047,-0.36329657,0.20803405,0.09942064,-0.07761553,0.031704508,-0.56972075,0.12511289,0.24082518,-0.03680036,0.17822929,-0.6430527,-0.9418066,-0.7076644,0.4933569,-0.28203237,0.057710025,-0.81317616,0.06879265
-0.15354191,-0.2898093,-0.25790775,-0.57605547,0.33472806,-0.617472,-0.17313923,-0.31967616,-0.44290662,-0.43114647,-0.45951974,0.40176353,0.63986266,-0.75344163,-0.049193885,-0.02748325,0.62381196,-0.42505264,-0.0995803,-0.6776487,-0.050142832,-0.7063543,-0.48330474,-0.4732233,-0.9998371,-0.21424401,0.016398115,-0.65895003,-0.8244333,-0.9066499,-0.3004266,0.13932991,-0.4456637,-0.18765044,0.5224496,-0.301872,0.8625784,-0.79855406,0.58425915,-0.3946696,-0.2928523,1.4023376,0.66432434,-0.089228384,0.7608629,0.16216043,0.69534147,-0.09258601,0.15297374,0.29790592,0.032074414,0.12489431,-0.60592496,0.71046454,-0.18255514,-0.118727624,0.5119935,-0.18918522,0.2962154,-0.16648208,-0.8598014,-0.055764392,-0.52426374,0.25764757,-0.48342624,-0.01948839,0.089363456,0.39401567,-0.37877914,0.6617507
-1.3723608,-1.0218885,-1.5243405,-0.47699416,-0.8631352,-1.8241857,-0.8257657,-0.98534673,-1.1092194,-1.4784181,-1.2957115,-1.0525118,-0.80256504,-0.3108508,-0.74170524,-0.6875128,-1.6388804,-1.1439922,-0.72276866,-1.2836747,-1.6997263,-1.0407228,-0.92234725,-1.6739718,-1.382847,-1.200549,-1.1363925,-1.3002708,-0.568997,-0.7442577,-1.8736689,-0.7994752,-1.7608477,-1.2909003,-1.3906289,-0.6521668,-0.9223423,-0.33224824,-0.3359396,0.14873391,-0.75544745,-0.52300394,-1.1735524,-0.99789214,-1.4123688,-0.84157896,-1.1115568,-0.32830155,-1.1168753,-1.3147211,0.13061135,-0.7229324,-0.9270675,-0.37440526,-0.543886,-0.70167565,-0.43439302,-0.29746476,-0.9618501,0.42967364,-1.4372349,-0.9778683,-0.40771812,-0.10737114,0.27375397,-0.99756575,-0.3287878,-0.29233688,0.18479687,-0.9076908
1.1822354,1.7956384,1.2970151,1.9223855,1.2808062,0.5507007,1.5533764,1.5561259,0.6967016,1.5642903,1.4237876,1.7717977,2.3867164,1.7748842,1.7320585,1.3881406,1.7273424,1.7238504,0.794757,1.2211056,1.6010439,1.4473104,0.8827765,0.938207,0.84003174,1.1021557,1.2070959,1.1767586,0.49016842,1.4580386,1.1398722,0.42927316,1.637814,1.1855555,1.3791426,1.8123876,1.3316854,1.0393518,1.8325088,1.1277637,1.6288172,1.1765013,0.66404074,1.1404035,1.5192827,1.3362088,0.3260095,1.2398982,0.32704857,1.2163805,0.64641523,1.1061082,0.80504405,2.036049,1.396913,0.8930921,1.3939016,0.37689292,0.9091699,0.86075366,0.5020949,0.82850474,1.1467378,0.46436983,0.6519373,1.3562918,0.74867946,0.73516375,0.6070917,0.5315558
